Total Stock Market Index Fund Investor Shares (VTSMX) , , ,  
Holding details,2020-07-31
 
Stocks holdings 
 ,SEDOL,Ticker,Holdings name,Shares,Market value,% of fund*,Sector,Market,Security depository receipt type
,"BZ5YFM8","PRSP","Perspecta Inc.",3888593,$83215890.2,0.0090059357,"IT Consulting & Other Services","US",---
,"BZ56Q65","OZK","Bank OZK",3458451,$83175746.55,0.0090015912,"Regional Banks","US",---
,"B00GJC2","NUVA","NuVasive Inc.",1453821,$83071331.94,0.008990291,"Health Care Equipment","US",---
,"B45K9N8","VAC","Marriott Vacations Worldwide Corp.",980710,$83026908.6,0.0089854834,"Hotels, Resorts & Cruise Lines","US",---
,"BN5H5K1","INO","Inovio Pharmaceuticals Inc.",4261859,$82850538.96,0.008966396,"Biotechnology","US",---
,"B2RB4W9","CFX","Colfax Corp.",2848223,$82826324.84,0.0089637754,"Industrial Machinery","US",---
,"B0GLYB5","ROLL","RBC Bearings Inc.",675950,$82749799,0.0089554935,"Industrial Machinery","US",---
,"2696117","PZZA","Papa John's International Inc.",872701,$82618603.67,0.0089412951,"Restaurants","US",---
,"2855930","OSTK","Overstock.com Inc.",1091931,$82539064.29,0.008932687,"Internet & Direct Marketing Retail","US",---
,"2485070","KBH","KB Home",2452617,$82506035.88,0.0089291126,"Homebuilding","US",---
,"2222062","CBU","Community Bank System Inc.",1465899,$82427500.77,0.0089206132,"Regional Banks","US",---
,"B081VQ7","LAZ","Lazard Ltd. Class A",2805281,$82250838.92,0.0089014942,"Investment Banking & Brokerage","BM",---
,"2418601","HL","Hecla Mining Co.",14859337,$82023540.24,0.0088768951,"Silver","US",---
,"B832462","TMHC","Taylor Morrison Home Corp. Class A",3482008,$81653087.6,0.0088368033,"Homebuilding","US",---
,"BL3LWS8","VRT","Vertiv Holdings Co.",5627505,$81598822.5,0.0088309305,"Electrical Components & Equipment","US",---
,"BKWBZZ0","TWOU","2U Inc.",1727751,$81368433.35,0.008805997,"Application Software","US",---
,"2418043","HMSY","HMS Holdings Corp.",2499138,$81221985,0.0087901478,"Health Care Technology","US",---
,"2849193","VRNT","Verint Systems Inc.",1807237,$81126868.93,0.0087798539,"Application Software","US",---
,"B3P6D26","ALKS","Alkermes plc",4498925,$81025639.25,0.0087688985,"Biotechnology","IE",---
,"2675097","PNFP","Pinnacle Financial Partners Inc.",2038467,$80764062.54,0.0087405897,"Regional Banks","US",---
,"BGLN838","RAMP","LiveRamp Holdings Inc.",1767901,$80563248.57,0.0087188568,"IT Consulting & Other Services","US",---
,"BYQCZ35","MSGS","Madison Square Garden Sport Corp. Class A",523885,$80515885.65,0.008713731,"Movies & Entertainment","US",---
,"B3XS562","AL","Air Lease Corp. Class A",3069331,$80477858.82,0.0087096156,"Trading Companies & Distributors","US",---
,"2173911","RDN","Radian Group Inc.",5393660,$80473407.2,0.0087091339,"Thrifts & Mortgage Finance","US",---
,"2935326","VLY","Valley National Bancorp",10763346,$80402194.62,0.008701427,"Regional Banks","US",---
,"B020GQ5","ENS","EnerSys",1192326,$80195846.76,0.0086790952,"Electrical Components & Equipment","US",---
,"2707956","PSB","PS Business Parks Inc.",580889,$80133637.55,0.0086723627,"Diversified REITs","US",---
,"2466428","UNF","UniFirst Corp./MA",429702,$80130828.96,0.0086720588,"Diversified Support Services","US",---
,"BCBVTX1","AGIO","Agios Pharmaceuticals Inc.",1767868,$80119777.76,0.0086708628,"Biotechnology","US",---
,"BGGJFV8","STRA","Strategic Education Inc.",632023,$79767622.83,0.0086327512,"Education Services","US",---
,"BD8QGF7","LSXMA","Liberty Media Corp-Liberty SiriusXM Class A",2292435,$79753813.65,0.0086312568,"Cable & Satellite","US",---
,"2969637","DKS","Dick's Sporting Goods Inc.",1747690,$79729617.8,0.0086286382,"Specialty Stores","US",---
,"BMH4NJ8","SNV","Synovus Financial Corp.",3953545,$79663931.75,0.0086215294,"Regional Banks","US",---
,"2105505","HRB","H&R Block Inc.",5494046,$79663667,0.0086215007,"Specialized Consumer Services","US",---
,"2548616","MTG","MGIC Investment Corp.",9587552,$79289055.04,0.0085809588,"Thrifts & Mortgage Finance","US",---
,"B03PGL4","NWE","NorthWestern Corp.",1408809,$79259594.34,0.0085777705,"Multi-Utilities","US",---
,"2231897","CR","Crane Co.",1400907,$79249308.99,0.0085766574,"Industrial Machinery","US",---
,"B17VCN9","PTCT","PTC Therapeutics Inc.",1706130,$79045002.9,0.0085545466,"Biotechnology","US",---
,"2852760","JBLU","JetBlue Airways Corp.",7641011,$79008053.74,0.0085505478,"Airlines","US",---
,"2028174","UHAL","Amerco",248542,$78969249.66,0.0085463483,"Trucking","US",---
,"2267171","AWR","American States Water Co.",1024287,$78747184.56,0.0085223156,"Water Utilities","US",---
,"2049175","AEIS","Advanced Energy Industries Inc.",1069916,$78713720.12,0.0085186939,"Semiconductor Equipment","US",---
,"B8DMK08","THC","Tenet Healthcare Corp.",2967494,$78460541.36,0.008491294,"Health Care Facilities","US",---
,"2492337","HAIN","Hain Celestial Group Inc.",2301970,$78220940.6,0.0084653635,"Packaged Foods & Meats","US",---
,"B0BV2M7","BLDR","Builders FirstSource Inc.",3299313,$78160724.97,0.0084588467,"Building Products","US",---
,"B15JLG1","VG","Vonage Holdings Corp.",6538548,$78135648.6,0.0084561329,"Alternative Carriers","US",---
,"BV8TD84","TREE","LendingTree Inc.",223154,$77275998.66,0.0083630983,"Consumer Finance","US",---
,"BZ22CY6","RPD","Rapid7 Inc.",1296668,$77242512.76,0.0083594744,"Systems Software","US",---
,"B0XXJN1","PCH","PotlatchDeltic Corp.",1801381,$77117120.61,0.0083459039,"Specialized REITs","US",---
,"BYQ3PM7","HLI","Houlihan Lokey Inc. Class A",1399266,$76679776.8,0.008298573,"Investment Banking & Brokerage","US",---
,"BD390V5","SAIL","Sailpoint Technologies Holdings Inc.",2433347,$76650430.5,0.008295397,"Systems Software","US",---
,"B6ZL968","CCXI","ChemoCentryx Inc.",1433425,$75555831.75,0.0081769354,"Biotechnology","US",---
,"BD3FZ18","BAND","Bandwidth Inc. Class A",521702,$75532015.56,0.0081743579,"Alternative Carriers","US",---
,"2693914","TNET","TriNet Group Inc.",1143915,$75498390,0.0081707189,"Human Resource & Employment Services","US",---
,"2471949","ITRI","Itron Inc.",1082904,$75326802.24,0.008152149,"Electronic Equipment & Instruments","US",---
,"B4JSZL8","FN","Fabrinet",1034565,$75140455.95,0.0081319819,"Electronic Manufacturing Services","KY",---
,"2944742","WDFC","WD-40 Co.",382125,$75106668.75,0.0081283253,"Household Products","US",---
,"BDZ2YT8","SVMK","SVMK Inc.",3128757,$75027592.86,0.0081197674,"Application Software","US",---
,"BF429K9","BHF","Brighthouse Financial Inc.",2647183,$75021166.22,0.0081190719,"Life & Health Insurance","US",---
,"2493534","KEX","Kirby Corp.",1617349,$74786217.76,0.0080936449,"Marine","US",---
,"2231091","CBRL","Cracker Barrel Old Country Store Inc.",675955,$74672748.85,0.0080813649,"Restaurants","US",---
,"2614487","INSM","Insmed Inc.",2853428,$74531539.36,0.0080660826,"Biotechnology","US",---
,"2836292","STAA","STAAR Surgical Co.",1274246,$74148374.74,0.0080246151,"Health Care Supplies","US",---
,"2066505","AVT","Avnet Inc.",2767918,$73958768.96,0.0080040953,"Technology Distributors","US",---
,"2626125","NHI","National Health Investors Inc.",1190122,$73787564,0.0079855668,"Health Care REITs","US",---
,"BVB3BV2","BOX","Box Inc.",4104631,$73678126.45,0.0079737231,"Application Software","US",---
,"BK5CVS5","CHNG","Change Healthcare Inc.",6313558,$73616086.28,0.0079670089,"Health Care Technology","US",---
,"2948852","WERN","Werner Enterprises Inc.",1672089,$73546834.67,0.0079595142,"Trucking","US",---
,"2339252","WTM","White Mountains Insurance Group Ltd.",83559,$73542782.67,0.0079590757,"Property & Casualty Insurance","BM",---
,"2715186","KWR","Quaker Chemical Corp.",378518,$73432492,0.0079471396,"Specialty Chemicals","US",---
,"B75DGJ3","JCOM","J2 Global Inc.",1292359,$73302602.48,0.0079330825,"Application Software","US",---
,"2813552","AMN","AMN Healthcare Services Inc.",1331863,$73172553.22,0.0079190081,"Health Care Services","US",---
,"2577052","LPSN","LivePerson Inc.",1698835,$73015928.3,0.0079020575,"Application Software","US",---
,"2839268","SYNA","Synaptics Inc.",911738,$72957274.76,0.0078957098,"Semiconductors","US",---
,"B57VWJ3","SPSC","SPS Commerce Inc.",970219,$72931362.23,0.0078929055,"Application Software","US",---
,"BZ0P3Z5","TGNA","TEGNA Inc.",6179048,$72789185.44,0.0078775186,"Broadcasting","US",---
,"2567655","MSM","MSC Industrial Direct Co. Inc. Class A",1095240,$72296792.4,0.00782423,"Trading Companies & Distributors","US",---
,"BYP71H7","EYE","National Vision Holdings Inc.",2254952,$72135914.48,0.0078068191,"Specialty Stores","US",---
,"2101967","SLM","SLM Corp.",10615271,$71865384.67,0.0077775414,"Consumer Finance","US",---
,"BDT5KT5","INSP","Inspire Medical Systems Inc.",723254,$71862517.44,0.0077772311,"Health Care Technology","US",---
,"BYXPCC5","ACIA","Acacia Communications Inc.",1056445,$71817131.1,0.0077723192,"Communications Equipment","US",---
,"2246288","FHI","Federated Hermes Inc. Class B",2712550,$71502818,0.0077383031,"Asset Management & Custody Banks","US",---
,"2987521","XEC","Cimarex Energy Co.",2913247,$71258021.62,0.0077118103,"Oil & Gas Exploration & Production","US",---
,"2508386","PLUG","Plug Power Inc.",9214665,$71045067.15,0.0076887636,"Electrical Components & Equipment","US",---
,"B65VZ37","ACHC","Acadia Healthcare Co. Inc.",2375492,$70813416.52,0.0076636935,"Health Care Facilities","US",---
,"BDZDRC5","PINC","Premier Inc. Class A",2017624,$70556311.28,0.0076358686,"Health Care Services","US",---
,"B095X84","THS","TreeHouse Foods Inc.",1599521,$70091010.22,0.0075855119,"Packaged Foods & Meats","US",---
,"2120490","CWST","Casella Waste Systems Inc. Class A",1262838,$69973853.58,0.0075728328,"Environmental & Facilities Services","US",---
,"BMHL0Z4","WSC","WillScot Mobile Mini Holdings Corp. Class A",4644915,$69952419.9,0.0075705132,"Construction & Engineering","US",---
,"2942605","AVA","Avista Corp.",1881080,$69844500.4,0.0075588337,"Multi-Utilities","US",---
,"2945143","WBS","Webster Financial Corp.",2560767,$69832116.09,0.0075574934,"Regional Banks","US",---
,"2425258","WTFC","Wintrust Financial Corp.",1631067,$69809667.6,0.007555064,"Regional Banks","US",---
,"B19HNF4","GTLS","Chart Industries Inc.",1016934,$69690487.02,0.0075421658,"Industrial Machinery","US",---
,"2268130","AAON","AAON Inc.",1172992,$69499776,0.0075215263,"Building Products","US",---
,"2926825","VMI","Valmont Industries Inc.",572732,$69415118.4,0.0075123644,"Construction & Engineering","US",---
,"B03L311","ORA","Ormat Technologies Inc.",1160665,$69059567.5,0.0074738853,"Renewable Electricity","US",---
,"2007281","NSP","Insperity Inc.",1032244,$69015833.84,0.0074691523,"Human Resource & Employment Services","US",---
,"2213260","CMC","Commercial Metals Co.",3336266,$68993980.88,0.0074667873,"Steel","US",---
,"BYNF418","AA","Alcoa Corp.",5283539,$68686007,0.0074334572,"Aluminum","US",---
,"BG3G1B4","LGIH","LGI Homes Inc.",600202,$68489050.22,0.0074121418,"Homebuilding","US",---
,"BP4GNK9","SAGE","Sage Therapeutics Inc.",1499837,$68347572.09,0.0073968305,"Biotechnology","US",---
,"BJ01KB6","OVV","Ovintiv Inc.",7048113,$68296214.97,0.0073912725,"Oil & Gas Exploration & Production","US",---
,"2086309","AIT","Applied Industrial Technologies Inc.",1081894,$68289149.28,0.0073905078,"Trading Companies & Distributors","US",---
,"B9HHD96","HASI","Hannon Armstrong Sustainable Infrastructure Capital Inc.",1949424,$68288322.72,0.0073904183,"Mortgage REITs","US",---
,"B3WNNP3","GDOT","Green Dot Corp. Class A",1346898,$68274259.62,0.0073888964,"Consumer Finance","US",---
,"B17MTL9","HOMB","Home BancShares Inc./AR",4158663,$67910966.79,0.0073495795,"Regional Banks","US",---
,"2484389","UMPQ","Umpqua Holdings Corp.",6254326,$67859437.1,0.0073440027,"Regional Banks","US",---
,"BD4LHG4","NGVT","Ingevity Corp.",1158613,$67755688.24,0.0073327746,"Specialty Chemicals","US",---
,"2554163","MGEE","MGE Energy Inc.",1019498,$67623302.34,0.0073184473,"Electric Utilities","US",---
,"BF5D6S8","CARG","Cargurus Inc.",2340438,$67615253.82,0.0073175763,"Interactive Media & Services","US",---
,"2024901","ABM","ABM Industries Inc.",1880891,$67523986.9,0.007307699,"Environmental & Facilities Services","US",---
,"BP7RS59","WMS","Advanced Drainage Systems Inc.",1374226,$67337074,0.0072874706,"Building Products","US",---
,"2676692","SHEN","Shenandoah Telecommunications Co.",1334059,$67063145.93,0.0072578251,"Wireless Telecommunication Services","US",---
,"B40PCD9","WPX","WPX Energy Inc.",11198185,$66853164.45,0.0072351001,"Oil & Gas Exploration & Production","US",---
,"2216010","CNMD","CONMED Corp.",808248,$66712789.92,0.0072199083,"Health Care Equipment","US",---
,"2632650","NCR","NCR Corp.",3613933,$66604785.19,0.0072082196,"Technology Hardware, Storage & Periphera","US",---
,"BYQHPY1","CLDR","Cloudera Inc.",5908157,$66584929.39,0.0072060707,"Application Software","US",---
,"B1YWPP8","ENSG","Ensign Group Inc.",1441762,$66306634.38,0.0071759526,"Health Care Facilities","US",---
,"2580555","MMSI","Merit Medical Systems Inc.",1481699,$66261579.28,0.0071710766,"Health Care Supplies","US",---
,"BLGJ610","WMG","Warner Music Group Corp. Class A",2192138,$66092960.7,0.007152828,"Movies & Entertainment","US",---
,"2041308","FNB","FNB Corp./PA",8913659,$66050213.19,0.0071482017,"Regional Banks","US",---
,"2354664","FUL","HB Fuller Co.",1444852,$65509589.68,0.0070896934,"Specialty Chemicals","US",---
,"B0T7Z62","CROX","Crocs Inc.",1821461,$65463308.34,0.0070846847,"Footwear","US",---
,"2616870","NUS","Nu Skin Enterprises Inc. Class A",1458550,$65415967.5,0.0070795613,"Personal Products","US",---
,"2191300","AEL","American Equity Investment Life Holding Co.",2564727,$65272302.15,0.0070640133,"Life & Health Insurance","US",---
,"BJ1C2K1","ESI","Element Solutions Inc.",5992856,$65082416.16,0.0070434631,"Specialty Chemicals","US",---
,"2872252","TCO","Taubman Centers Inc.",1673199,$64786265.28,0.0070114125,"Retail REITs","US",---
,"BFZNYB7","ALLO","Allogene Therapeutics Inc.",1765653,$64746495.51,0.0070071085,"Biotechnology","US",---
,"BJ35QL7","NGHC","National General Holdings Corp.",1903120,$64687048.8,0.007000675,"Multi-line Insurance","US",---
,"2160645","CVBF","CVB Financial Corp.",3576110,$64620307.7,0.006993452,"Regional Banks","US",---
,"2658441","ONB","Old National Bancorp/IN",4618713,$64615794.87,0.0069929636,"Regional Banks","US",---
,"2672689","PDCO","Patterson Cos. Inc.",2430094,$64543296.64,0.0069851176,"Health Care Distributors","US",---
,"B198391","WYND","Wyndham Destinations Inc.",2422160,$64429456,0.0069727973,"Hotels, Resorts & Cruise Lines","US",---
,"2074070","BOH","Bank of Hawaii Corp.",1133359,$64182120.17,0.0069460297,"Regional Banks","US",---
,"2718594","DORM","Dorman Products Inc.",784683,$64147835.25,0.0069423192,"Auto Parts & Equipment","US",---
,"BDC6HG1","FHB","First Hawaiian Inc.",3688596,$64107798.48,0.0069379863,"Regional Banks","US",---
,"BCZS820","FATE","Fate Therapeutics Inc.",2045915,$63975762.05,0.0069236968,"Biotechnology","US",---
,"2165383","CWT","California Water Service Group",1363911,$63926508.57,0.0069183664,"Water Utilities","US",---
,"BZCG9B4","FCFS","FirstCash Inc.",1107873,$63857799.72,0.0069109305,"Consumer Finance","US",---
,"2561204","MDC","MDC Holdings Inc.",1422283,$63760946.89,0.0069004487,"Homebuilding","US",---
,"B247H10","TDC","Teradata Corp.",3032544,$63683424,0.0068920589,"Systems Software","US",---
,"2946243","VSAT","ViaSat Inc.",1675839,$63614848.44,0.0068846374,"Communications Equipment","US",---
,"2321583","ESE","ESCO Technologies Inc.",739626,$63563458.44,0.0068790758,"Industrial Machinery","US",---
,"2918510","UMBF","UMB Financial Corp.",1276256,$63557548.8,0.0068784362,"Regional Banks","US",---
,"2691305","BCO","Brink's Co.",1432803,$63544813.05,0.0068770579,"Security & Alarm Services","US",---
,"2943620","WTS","Watts Water Technologies Inc. Class A",757387,$63537195.43,0.0068762335,"Industrial Machinery","US",---
,"2774336","SAFM","Sanderson Farms Inc.",568959,$63436083.71,0.0068652908,"Packaged Foods & Meats","US",---
,"BF7J7N6","TENB","Tenable Holdings Inc.",1868214,$63388501.02,0.0068601413,"Systems Software","US",---
,"2229126","COLM","Columbia Sportswear Co.",833954,$63247071.36,0.0068448352,"Apparel, Accessories & Luxury Goods","US",---
,"2488121","KMT","Kennametal Inc.",2337389,$63016007.44,0.0068198286,"Industrial Machinery","US",---
,"BDRYFB1","SPB","Spectrum Brands Holdings Inc",1161637,$62914259.92,0.0068088171,"Household Products","US",---
,"B8XXZP1","EPR","EPR Properties",2195242,$62849778.46,0.0068018387,"Specialized REITs","US",---
,"BDD19P8","ALLK","Allakos Inc.",837156,$62845300.92,0.0068013541,"Biotechnology","US",---
,"2746700","ROG","Rogers Corp.",527200,$62836968,0.0068004523,"Electronic Components","US",---
,"2155306","MTZ","MasTec Inc.",1578985,$62812023.3,0.0067977527,"Construction & Engineering","US",---
,"B1Z4VB1","MIC","Macquarie Infrastructure Corp.",2094883,$62762694.68,0.0067924141,"Airport Services","US",---
,"BD0NN55","IIPR","Innovative Industrial Properties Inc.",601285,$62671935.55,0.0067825918,"Industrial REITs","US",---
,"B7KY3Z6","EVTC","EVERTEC Inc.",2013308,$62513213.4,0.0067654143,"Data Processing & Outsourced Services","PR",---
,"2923741","SXT","Sensient Technologies Corp.",1194690,$62374764.9,0.0067504309,"Specialty Chemicals","US",---
,"2117726","BRC","Brady Corp. Class A",1356659,$62365614.23,0.0067494406,"Commercial Printing","US",---
,"B5VR4H9","HHC","Howard Hughes Corp.",1171605,$62317669.95,0.0067442519,"Real Estate Development","US",---
,"B1L82T2","AIMC","Altra Industrial Motion Corp.",1814748,$62118824.04,0.006722732,"Industrial Machinery","US",---
,"2845005","SCL","Stepan Co.",566776,$61891939.2,0.0066981777,"Specialty Chemicals","US",---
,"BFNXVB8","STL","Sterling Bancorp/DE",5489584,$61757820,0.0066836628,"Regional Banks","US",---
,"2503529","WWE","World Wrestling Entertainment Inc. Class A",1317621,$61414314.81,0.0066464874,"Movies & Entertainment","US",---
,"BYMM8B8","ADSW","Advanced Disposal Services Inc.",2035083,$61378103.28,0.0066425685,"Environmental & Facilities Services","US",---
,"BMHWY55","AVNT","Avient Corp.",2566335,$61335406.5,0.0066379477,"Specialty Chemicals","US",---
,"2512149","KTOS","Kratos Defense & Security Solutions Inc.",3405053,$61325004.53,0.0066368219,"Aerospace & Defense","US",---
,"B404719","CSOD","Cornerstone OnDemand Inc.",1726069,$61292710.19,0.0066333269,"Application Software","US",---
,"BLKNZP5","PRMW","Primo Water Corp.",4312759,$61284305.39,0.0066324173,"Soft Drinks","CA",---
,"B92CQF3","TPH","TRI Pointe Group Inc.",3652084,$61062844.48,0.00660845,"Homebuilding","US",---
,"2891826","FORM","FormFactor Inc.",2110640,$60870857.6,0.0065876724,"Semiconductor Equipment","US",---
,"2619772","PACW","PacWest Bancorp",3329117,$60839613.18,0.006584291,"Regional Banks","US",---
,"BJDX8X7","MDLA","Medallia Inc.",1978702,$60805512.46,0.0065806005,"Application Software","US",---
,"BD06LM7","ITGR","Integer Holdings Corp.",923345,$60728400.65,0.0065722552,"Health Care Equipment","US",---
,"2825933","SJI","South Jersey Industries Inc.",2599243,$60640339.19,0.0065627249,"Gas Utilities","US",---
,"2657750","CNO","CNO Financial Group Inc.",3996561,$60348071.1,0.0065310945,"Life & Health Insurance","US",---
,"B298495","KW","Kennedy-Wilson Holdings Inc.",4059549,$60243707.16,0.0065197999,"Real Estate Operating Companies","US",---
,"2378200","GT","Goodyear Tire & Rubber Co.",6680899,$60194899.99,0.0065145178,"Tires & Rubber","US",---
,"2447821","INDB","Independent Bank Corp.",929960,$60001019.2,0.0064935353,"Regional Banks","US",---
,"2362128","GATX","GATX Corp.",981735,$59876017.65,0.0064800071,"Trading Companies & Distributors","US",---
,"BJ1N1M9","CPRI","Capri Holdings Ltd.",3992725,$59811020.5,0.0064729729,"Apparel, Accessories & Luxury Goods","VG",---
,"BYSZB89","OMF","OneMain Holdings Inc",2082613,$59770993.1,0.006468641,"Consumer Finance","US",---
,"BHZSB82","CVET","Covetrus Inc.",2696737,$59759691.92,0.0064674179,"Health Care Distributors","US",---
,"B828K63","TGTX","TG Therapeutics Inc.",3047658,$59673143.64,0.0064580513,"Biotechnology","US",---
,"BMBPH06","APG","API Group Corp.",4269495,$59474065.35,0.0064365063,"Construction & Engineering","US",---
,"2389558","EPAY","Bottomline Technologies DE Inc.",1231801,$59446716.26,0.0064335465,"Application Software","US",---
,"BLLHH27","SABR","Sabre Corp.",7861127,$59430120.12,0.0064317504,"Data Processing & Outsourced Services","US",---
,"BSP6611","OUT","Outfront Media Inc.",4106289,$59171624.49,0.0064037751,"Specialized REITs","US",---
,"2270500","DIOD","Diodes Inc.",1149303,$59131639.35,0.0063994477,"Semiconductors","US",---
,"B1HMMS7","SPR","Spirit AeroSystems Holdings Inc. Class A",3018651,$59075000.07,0.006393318,"Aerospace & Defense","US",---
,"2350383","FELE","Franklin Electric Co. Inc.",1091137,$58975954.85,0.006382599,"Industrial Machinery","US",---
,"BFZ4V53","PRNB","Principia Biopharma Inc.",704677,$58910997.2,0.006375569,"Biotechnology","US",---
,"BYVZ186","CLF","Cleveland-Cliffs Inc.",11356171,$58824965.78,0.0063662584,"Steel","US",---
,"B3X26D8","PCRX","Pacira BioSciences Inc.",1116852,$58757583.72,0.006358966,"Pharmaceuticals","US",---
,"BK1KWG8","BBIO","Bridgebio Pharma Inc.",2087958,$58755138.12,0.0063587013,"Biotechnology","US",---
,"2946618","WRI","Weingarten Realty Investors",3442640,$58731438.4,0.0063561365,"Retail REITs","US",---
,"2115902","OPK","OPKO Health Inc.",11387568,$58645975.2,0.0063468873,"Biotechnology","US",---
,"BF3BNF0","BXS","BancorpSouth Bank",2801609,$58637676.37,0.0063459892,"Regional Banks","US",---
,"2930149","VSH","Vishay Intertechnology Inc.",3734164,$58589033.16,0.0063407248,"Electronic Components","US",---
,"B07LST0","EXLS","ExlService Holdings Inc.",914302,$58570186.12,0.0063386851,"Data Processing & Outsourced Services","US",---
,"BCZM468","DOOR","Masonite International Corp.",693660,$58510221,0.0063321955,"Building Products","CA",---
,"BF27XF9","SMPL","Simply Good Foods Co.",2430784,$58436047.36,0.0063241681,"Packaged Foods & Meats","US",---
,"BL9BT47","PPD","PPD Inc.",1973663,$57966482.31,0.0062733501,"Life Sciences Tools & Services","US",---
,"2176608","COLB","Columbia Banking System Inc.",1997161,$57777867.73,0.0062529375,"Regional Banks","US",---
,"B8FW545","APAM","Artisan Partners Asset Management Inc. Class A",1593207,$57721889.61,0.0062468793,"Asset Management & Custody Banks","US",---
,"2162500","CBT","Cabot Corp.",1580910,$57671596.8,0.0062414364,"Commodity Chemicals","US",---
,"B0PZN11","UAA","Under Armour Inc. Class A",5477564,$57623973.28,0.0062362824,"Apparel, Accessories & Luxury Goods","US",---
,"2762030","ADS","Alliance Data Systems Corp.",1294829,$57438614.44,0.0062162222,"Data Processing & Outsourced Services","US",---
,"BLF9ZT2","DNB","Dun & Bradstreet Holdings Inc.",2251883,$57423016.5,0.0062145341,"Research & Consulting Services","US",---
,"B4N0JJ6","VC","Visteon Corp.",786809,$57130201.49,0.0061828446,"Auto Parts & Equipment","US",---
,"2692160","PLXS","Plexus Corp.",767539,$57020472.31,0.0061709693,"Electronic Manufacturing Services","US",---
,"B1Q76J2","ESGR","Enstar Group Ltd.",338706,$56885672.7,0.0061563808,"Reinsurance","BM",---
,"BGPZ5W8","ACA","Arcosa Inc.",1346714,$56858265.08,0.0061534146,"Construction & Engineering","US",---
,"BKWBFH2","SPCE","Virgin Galactic Holdings Inc.",2532522,$56855118.9,0.0061530741,"Aerospace & Defense","US",---
,"B3M3278","PDM","Piedmont Office Realty Trust Inc. Class A",3502712,$56778961.52,0.0061448321,"Office REITs","US",---
,"BF0SR29","HLNE","Hamilton Lane Inc. Class A",784642,$56682538.08,0.0061343968,"Asset Management & Custody Banks","US",---
,"B4MF0Q6","SEM","Select Medical Holdings Corp.",2971653,$56580273.12,0.0061233293,"Health Care Facilities","US",---
,"B6ZC3N6","TRIP","TripAdvisor Inc.",2786316,$56367172.68,0.0061002668,"Interactive Media & Services","US",---
,"B5B15Y5","MTSI","MACOM Technology Solutions Holdings Inc.",1327043,$56080837.18,0.0060692785,"Semiconductors","US",---
,"BFMWBV6","ETRN","Equitrans Midstream Corp.",5806546,$56033168.9,0.0060641196,"Oil & Gas Storage & Transportation","US",---
,"2760669","R","Ryder System Inc.",1525475,$55878149.25,0.0060473428,"Trucking","US",---
,"B4Y1MH7","KAR","KAR Auction Services Inc.",3685529,$55762053.77,0.0060347785,"Diversified Support Services","US",---
,"BYN7H48","APPF","Appfolio Inc.",400067,$55697327.74,0.0060277736,"Application Software","US",---
,"BYVMVV0","PK","Park Hotels & Resorts Inc.",6672499,$55181566.73,0.005971956,"Hotel & Resort REITs","US",---
,"B0J2NS5","IRBT","iRobot Corp.",758605,$55142997.45,0.0059677819,"Household Appliances","US",---
,"BWTVWD4","VIRT","Virtu Financial Inc. Class A",2221336,$55089132.8,0.0059619525,"Investment Banking & Brokerage","US",---
,"2417619","HCSG","Healthcare Services Group Inc.",2102920,$55075474.8,0.0059604744,"Diversified Support Services","US",---
,"2055718","ASB","Associated Banc-Corp",4286242,$55035347.28,0.0059561316,"Regional Banks","US",---
,"2972721","WGO","Winnebago Industries Inc.",908493,$54882062.13,0.0059395425,"Automobile Manufacturers","US",---
,"2611206","MUR","Murphy Oil Corp.",4114996,$54359097.16,0.0058829453,"Oil & Gas Exploration & Production","US",---
,"B1BHXZ2","EVR","Evercore Inc. Class A",982036,$54306590.8,0.0058772629,"Investment Banking & Brokerage","US",---
,"BD6VBR1","UNIT","Uniti Group Inc.",5473270,$54185373,0.0058641442,"Specialized REITs","US",---
,"BMWP0C8","XPER","Xperi Holding Corp",2932563,$54076461.72,0.0058523574,"Systems Software","US",---
,"B4Z73G0","CIT","CIT Group Inc.",2835656,$53792394.32,0.0058216146,"Regional Banks","US",---
,"BGYTGH3","PFSI","PennyMac Financial Services Inc.",1113396,$53732490.96,0.0058151316,"Thrifts & Mortgage Finance","US",---
,"2345022","M","Macy's Inc.",8861796,$53702483.76,0.0058118841,"Department Stores","US",---
,"BJXBP30","TPTX","Turning Point Therapeutics Inc.",903298,$53502340.54,0.0057902239,"Biotechnology","US",---
,"BJYLZK6","PLMR","Palomar Holdings Inc.",582429,$53199064.86,0.0057574023,"Property & Casualty Insurance","US",---
,"B3V8JL7","PMT","PennyMac Mortgage Investment Trust",2820476,$53165972.6,0.0057538209,"Mortgage REITs","US",---
,"2344922","JACK","Jack in the Box Inc.",647018,$53126647.98,0.005749565,"Restaurants","US",---
,"BXRTX56","APLE","Apple Hospitality REIT Inc.",6013850,$53042157,0.0057404211,"Hotel & Resort REITs","US",---
,"2419217","HEI","HEICO Corp.",551353,$52996050.36,0.0057354313,"Aerospace & Defense","US",---
,"B92RRW2","SANM","Sanmina Corp.",1780394,$52842093.92,0.0057187695,"Electronic Manufacturing Services","US",---
,"BDF9YM2","UA","Under Armour Inc. Class C",5554847,$52715498.03,0.0057050688,"Apparel, Accessories & Luxury Goods","US",---
,"BMWF095","ZI","ZoomInfo Technologies Inc. Class A",1289158,$52687887.46,0.0057020807,"Interactive Media & Services","US",---
